Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5
Week 3,Rensga Esports,FURIA,1 - 0,1,12.11,Olaf,Yone,Gwen,Lucian,Sejuani,Zeri,Viego,"Gnar, Ezreal","Jinx, Vex",Wukong,Jayce,Galio,Irelia,Ahri,Azir,"Thresh, Ornn",Nautilus,Jungle,Bot,Mid,Support,Top,Top,Bot,Jungle,Mid,Support
Week 3,Liberty,KaBuM! e-Sports,1 - 0,1,12.11,Azir,Gwen,Kayle,Wukong,Taliyah,Viego,Lucian,"Senna, Tahm Kench","Nami, Ahri",Lissandra,Nocturne,Gnar,Gangplank,Kennen,Lee Sin,"Sejuani, Trundle",Mordekaiser,Bot,Support,Mid,Top,Jungle,Bot,Support,Mid,Jungle,Top
Week 3,RED Canids,Flamengo Los Grandes,1 - 0,1,12.11,Taliyah,Lucian,Senna,Gangplank,Kalista,Yuumi,Gwen,"Lee Sin, Gnar","Wukong, Zeri",Jinx,Renata Glasc,Nautilus,Lissandra,Ahri,Lulu,"Rakan, Twisted Fate",Corki,Top,Jungle,Bot,Support,Mid,Jungle,Top,Bot,Support,Mid
Week 3,paiN Gaming,Miners,1 - 0,1,12.11,Ahri,Gwen,Kayle,Nautilus,Yuumi,Gangplank,Senna,"Ezreal, Wukong","Tahm Kench, Corki",Rakan,Viego,Ornn,Volibear,Swain,Sejuani,"Gnar, Lee Sin",Kassadin,Bot,Support,Mid,Top,Jungle,Bot,Jungle,Support,Top,Mid
Week 3,INTZ,LOUD,0 - 1,2,12.11,Renata Glasc,Vi,Ahri,Senna,Gnar,Lucian,Zeri,"Nautilus, Wukong","Gwen, Volibear",Kai'Sa,Braum,Kayle,Rakan,Galio,Gragas,"Leona, Sylas",Taliyah,Bot,Top,Jungle,Support,Mid,Support,Jungle,Bot,Top,Mid
Week 2,Miners,Rensga Esports,1 - 0,1,12.11,Yone,Viego,Taliyah,Wukong,Lucian,Sejuani,Lee Sin,"Senna, Xin Zhao","Ezreal, Rakan",Swain,Sylas,Lissandra,Galio,Yasuo,Ahri,"Orianna, Kayle",Jax,Jungle,Bot,Support,Mid,Top,Support,Jungle,Bot,Mid,Top
Week 2,FURIA,RED Canids,1 - 0,1,12.11,Taliyah,Gwen,Ezreal,Olaf,Lucian,Senna,Zeri,"Wukong, Kalista","Volibear, Ahri",Lissandra,Kayle,Gangplank,Yuumi,Camille,Nautilus,"Braum, Sejuani",Aatrox,Bot,Jungle,Mid,Support,Top,Jungle,Bot,Mid,Support,Top
Week 2,Flamengo Los Grandes,INTZ,1 - 0,1,12.11,Senna,Lucian,Renata Glasc,Zeri,Wukong,Kayle,Taliyah,"Ezreal, Viego","Lee Sin, Kalista",Ahri,Camille,Gangplank,Gnar,Gwen,Ornn,"Aatrox, Nautilus",Braum,Mid,Jungle,Bot,Top,Support,Bot,Jungle,Mid,Top,Support
Week 2,KaBuM! e-Sports,paiN Gaming,0 - 1,2,12.11,Kayle,Lucian,Ahri,Senna,Gwen,Ezreal,Wukong,"Gangplank, Kalista","Rumble, Zeri",Viego,Yuumi,Renata Glasc,Taliyah,Nautilus,Rell,"Alistar, Azir",Corki,Jungle,Top,Bot,Support,Mid,Top,Bot,Jungle,Support,Mid
Week 2,LOUD,Liberty,1 - 0,1,12.11,Gangplank,Zeri,Senna,Lucian,Braum,Ezreal,Ahri,"Taliyah, Wukong","Viego, Gnar",Kayle,Tristana,Renata Glasc,Varus,Lulu,Kalista,"Ashe, Tahm Kench",Rakan,Mid,Jungle,Top,Bot,Support,Mid,Jungle,Top,Bot,Support
Week 2,paiN Gaming,Rensga Esports,1 - 0,1,12.11,Yone,Kalista,Ahri,Lucian,Renata Glasc,Jayce,Senna,"Viego, Ezreal","Wukong, Tahm Kench",Swain,Sylas,Yuumi,Galio,Akali,Orianna,"Corki, Gwen",Yasuo,Bot,Jungle,Support,Mid,Top,Jungle,Bot,Support,Mid,Top
Week 2,RED Canids,Miners,1 - 0,1,12.11,Viego,Lucian,Braum,Taliyah,Senna,Ahri,Gwen,"Kayle, Wukong","Ezreal, Lee Sin",Kalista,Karma,Nautilus,Yuumi,Rakan,Renata Glasc,"Swain, Seraphine",Sylas,Top,Bot,Jungle,Mid,Support,Top,Jungle,Bot,Support,Mid
Week 2,Liberty,Flamengo Los Grandes,0 - 1,2,12.11,Renata Glasc,Lucian,Ezreal,Senna,Ahri,Kalista,Zeri,"Jinx, Lee Sin","Viego, Nautilus",Tahm Kench,Vex,LeBlanc,Zoe,Vladimir,Taliyah,"Gangplank, Azir",Kayle,Bot,Jungle,Support,Top,Mid,Bot,Jungle,Support,Mid,Top
